Vertice;E/Long;Sigma long;N/Lat;Sigma lat;h;Sigma h;Metodo Posicionamento;Tipo Limite;CNS;Matricula;Descritivo
BSLL-M-B0945;168104,21;0,005;8239998,82;0,005;1168,08;0,018;PG6;LA1;;;Fazenda Tamandua Gleba D - Remanescente 001
BSLL-M-B0946;48 05 48,730 W;0,006;15 54 14,975 S;0,005;1116,81;0,016;PG6;LA1;;;Fazenda Tamandua Gleba D - Remanescente 001
BSLL-V-B4582;48 05 48,304 W;0;15 54 16,288 S;0;1113,91;0;PB2;LA6;02.103-0;178177.0;Recanto das Emas / Empreendimento: TERRACAP
BPA-V-0100;168217,3;0;8239152,31;0;1085;0;PB2;LA6;02.103-0;178177.0;Recanto das Emas / Empreendimento: TERRACAP
BSLL-V-B4445;168087,13;0;8239096,34;0;1119,81;0;PB2;LN1;;;Córrego Vargem da Benção,  Fazenda Tamandua Gleba D - Remanescente 002
BSLL-V-B4444;168078,47;0;8239099,98;0;1119,54;0;PB2;LN1;;;Córrego Vargem da Benção,  Fazenda Tamandua Gleba D - Remanescente 002
BSLL-V-B4443;168076,36;0;8239114,17;0;1120,54;0;PB2;LN1;;;Córrego Vargem da Benção,  Fazenda Tamandua Gleba D - Remanescente 002
BSLL-V-B4442;168061,37;0;8239128,79;0;1120,48;0;PB2;LN1;;;Córrego Vargem da Benção,  Fazenda Tamandua Gleba D - Remanescente 002
BSLL-V-B4441;168050,98;0;8239136,11;0;1120,62;0;PB2;LN1;;;Córrego Vargem da Benção,  Fazenda Tamandua Gleba D - Remanescente 002
BSLL-V-B4440;168033,88;0;8239137,63;0;1119,42;0;PB2;LN1;;;Córrego Vargem da Benção,  Fazenda Tamandua Gleba D - Remanescente 002
BSLL-V-B4496;168023,22;0;8239125,41;0;1118,15;0;PB2;LN1;;;Córrego Vargem da Benção,  Fazenda Tamandua Gleba D - Remanescente 002
BSLL-V-B4495;168018;0;8239117,58;0;1118,07;0;PB2;LN1;;;Córrego Vargem da Benção,  Fazenda Tamandua Gleba D - Remanescente 002
BSLL-V-B4494;168014,56;0;8239113,45;0;1118,18;0;PB2;LN1;;;Córrego Vargem da Benção,  Fazenda Tamandua Gleba D - Remanescente 002
BSLL-V-B4493;167969,87;0;8239099,73;0;1117,36;0;PB2;LN1;;;Córrego Vargem da Benção,  Fazenda Tamandua Gleba D - Remanescente 002
BSLL-V-B4492;167949,53;0;8239089,94;0;1116,71;0;PB2;LN1;;;Córrego Vargem da Benção,  Fazenda Tamandua Gleba D - Remanescente 002
BSLL-V-B4491;167934,8;0;8239088,66;0;1116,43;0;PB2;LA1;;;Fazenda Tamandua Gleba D - Parcela 002
BSLL-M-B0866;167930,83;0,002;8239100,59;0,002;1105,55;0,004;PG6;LA1;;;Fazenda Tamandua Gleba D - Parcela 002
BSLL-M-B0874;167679,04;0,004;8239858,18;0,004;1160,62;0,008;PG6;LA1;02.103-0;371969.0; Remanescente 2 da Fazenda Tamandua
BPA-V-0942;168081,13;0;8239991,18;0;1085;0;PB2;LA1;02.103-0;371969.0; Remanescente 2 da Fazenda Tamandua
